346382.1	6786334
346460	6786704
346443	6787437
347147.8	6788312
348526.6	6790320
348367.3	6791015
347606	6791801
348383.2	6792232
348593.2	6792862
348781.4	6793140
350449.2	6793017
351274.6	6791804
353379.7	6792599
354122.7	6792529
355047.3	6793182
355170.3	6793543
355474.8	6793378
355936.3	6793846
356282	6793858
356250.9	6793090
355381.3	6791841
355816.3	6790774
355271.2	6789380
355614.7	6787988
355947.6	6787795
355798.1	6787103
354929.1	6786057
353956.7	6785693
353583.9	6785809
352494	6785483
350246.2	6785943
350081.3	6786290
350863.3	6787114
350556.4	6787721
350170.9	6787708
347126	6786133
346382.1	6786334
