"","TYPEQU","lambert_x","lambert_y","DEPCOM"
"779","B302",351870.19,6789614.93,35238
"780","B302",351890.68,6789220.78,35238
"781","B302",351890.09,6789202.8,35238
"782","B302",351879.87,6789257.35,35238
"783","B302",351875.95,6789443.5,35238
"784","B302",351856.78,6789432.42,35238
"785","B302",351861.96,6789444.12,35238
"786","B302",351838.11,6789433.07,35238
"787","B302",351838.11,6789433.07,35238
"788","D301",353602.31,6790928,35238
"789","D301",353932.46,6787464.75,35238
"790","B302",352160.54,6788936.52,35238
"791","B302",351543,6786102.94,35238
"792","B302",351660.17,6786105.24,35238
"793","B302",351660.17,6786105.49,35238
"794","B302",351543.92,6786114.93,35238
"795","B302",351543,6786102.94,35238
"796","B302",351543.92,6786114.93,35238
"797","B302",351543.92,6786114.93,35238
"798","B302",351543.92,6786114.93,35238
"799","B302",351543.92,6786114.93,35238
"800","B302",351543.92,6786114.93,35238
"801","B302",351543,6786102.94,35238
"802","D301",351892.71,6786086.6,35238
"803","B302",351949.89,6788527.8,35238
"804","B302",351902.27,6789492.25,35238
"805","B302",351904.81,6789496.98,35238
"806","B302",351927.84,6789563.75,35238
"807","B302",351939.63,6789569.9,35238
"808","B302",351765.16,6789296.76,35238
"809","B302",351736.72,6789289.74,35238
"810","B302",351730.33,6789302.79,35238
"811","B302",351721.53,6789303.86,35238
"812","D301",352375.44,6789830.16,35238
"813","B302",352040.11,6789050.68,35238
"814","B302",352052.09,6789050.33,35238
"815","B302",352052.09,6789050.33,35238
"816","B302",352051.18,6789029.85,35238
"817","B302",352037.02,6788990.49,35238
"818","B302",352049,6788989.65,35238
"819","D301",352030.01,6788888.37,35238
"820","B302",347741.93,6788622.33,35238
"821","D301",352059.42,6789090.99,35238
"822","D301",352059.42,6789090.99,35238
"823","B302",351545.5,6788681.72,35238
"824","B302",352089.81,6789259.88,35238
"825","B302",351872.59,6789369.08,35238
"826","B302",351853.65,6789370.73,35238
"827","B302",352069.02,6789283.28,35238
"828","B302",352070,6789300.51,35238
"829","B302",352071.02,6789317.99,35238
"830","B302",351901.26,6789265.92,35238
"831","D301",352113.61,6789573.47,35238
"832","D301",352877.66,6790123.61,35238
"833","D301",349776.13,6788217.74,35238
"834","B302",351956.44,6789023.63,35238
"835","B302",349526.61,6788673.72,35238
"836","B302",349536.39,6788659.4,35238
"837","B302",349375.95,6788546.29,35238
"838","B302",351917.8,6789428.67,35238
"839","B302",351953.26,6789446.62,35238
"840","B302",351953.91,6789460.6,35238
"841","B302",351966.12,6789464.75,35238
"842","B302",351967.98,6789539.43,35238
"843","B302",351967.91,6789548.93,35238
"844","B302",351834.79,6789547.02,35238
"845","B302",351968.55,6789588.14,35238
"846","B302",351968.55,6789588.14,35238
"847","B302",351957.32,6789602.98,35238
"848","B302",351957.32,6789602.98,35238
"849","B302",351970.08,6789616.86,35238
"850","B302",351973.29,6789424.72,35238
"851","B302",351986.07,6789436.11,35238
"852","B302",351998.3,6789435.51,35238
"853","B302",352010.54,6789434.91,35238
"854","B302",352010.54,6789434.91,35238
"855","B302",352010,6789422.92,35238
"856","B302",352022.78,6789434.31,35238
"857","D301",353383.87,6787195.67,35238
"858","B302",351945.43,6789589.58,35238
"859","B302",351945.43,6789589.58,35238
"860","B302",351645.38,6789018.92,35238
"861","B302",351824.5,6789503.13,35238
"862","B302",351813.96,6789528.7,35238
"863","D301",353191.19,6788332.26,35238
"864","B302",351664.54,6789576.14,35238
"865","D301",351694.21,6790541.24,35238
"866","B302",352071.13,6789697.99,35238
"867","B302",352034.97,6789469.44,35238
"868","B302",351825.78,6788786.86,35238
"869","B302",351989.01,6789001.13,35238
"870","B302",352053.58,6789010.1,35238
"871","B302",352122.91,6789417,35238
"872","D301",353048.26,6787274.6,35238
"873","D301",353819.11,6791977.66,35238
"874","B302",351672.09,6787064.73,35238
"1036","B302",351821.3,6789352.76,35238
"1054","B302",351850,6789650,35238
"1055","B302",351830.68,6788542.48,35238
"1056","B302",351990.25,6789566.98,35238
"1057","B302",351555.87,6791309.23,35238
"1058","B302",351867.94,6788982.88,35238
"1059","B302",351890.09,6789202.8,35238
"1060","B302",351819.47,6789433.97,35238
"1061","B302",351543.92,6786114.93,35238
"1062","B302",351719.43,6789291.88,35238
"1063","B302",352040.11,6789050.68,35238
"1064","B302",352058.52,6789309.85,35238
"1065","B302",352062.53,6789193.15,35238
"1066","B302",352022.78,6789434.31,35238
"1067","B302",349950,6789150,35238
"1068","B302",351077.38,6790054.11,35238
"1069","B302",351950,6788550,35238
"1099","D301",350538.81,6791346.63,35238
"1100","D301",351179.56,6790015.05,35238
"1101","D301",351494.6,6789504.07,35238
"1102","D301",351293.22,6789436.98,35238
"1103","D301",353540.16,6790607.12,35238
"1104","D301",351673.7,6787073.96,35238
"1109","C104",352908.9,6787943.9,35238
"1110","B302",351891.16,6788872.59,35238
"1111","B302",351891.16,6788872.59,35238
"1112","B302",351543.92,6786114.93,35238
"1131","B302",351891.16,6788872.59,35238
"1132","B302",351797.74,6788902.65,35238
"1133","B302",348823.87,6788670.21,35238
"1134","B302",351951,6789237.53,35238
"1135","B302",351951.15,6789256.51,35238
"1136","B302",351871.16,6789067.8,35238
"1137","B302",351917.8,6789428.67,35238
"1138","B302",351956.55,6789588.49,35238
"1139","B302",351881.11,6789896.65,35238
"1140","B302",352032.78,6789443.22,35238
"1141","B302",352156.29,6789426.47,35238
"1153","B302",351968.55,6789588.14,35238
"1165","D301",352858.2,6787037.82,35238
"1166","D301",351808.6,6789545.48,35238
"1167","D301",349535.33,6788659.41,35238
"1181","B302",355499.63,6791255.17,35238
"1182","B302",351830.68,6788542.48,35238
"1183","B302",351830.68,6788542.48,35238
"1184","B302",351830.68,6788542.48,35238
"1185","B302",352022.25,6789641.92,35238
"1186","B302",351776.39,6786095.29,35238
"1187","B302",351543,6786102.94,35238
"1188","B302",351543.92,6786114.93,35238
"1230","B302",355552.87,6791216.51,35238
"1231","B302",351891.16,6788872.59,35238
"1232","B302",351797.74,6788902.65,35238
"1233","B302",350937.95,6789113.64,35238
"1234","B302",351889.5,6788586.22,35238
"1235","B302",351993.06,6788582.13,35238
"1236","B302",351830.68,6788542.48,35238
"1237","B302",352458.55,6790268.18,35238
"1238","B302",352951.39,6789306.81,35238
"1239","B302",352022.25,6789641.92,35238
"1240","B302",351660.17,6786105.24,35238
"1241","B302",351853.65,6789370.73,35238
"1242","B302",351957.23,6789063.35,35238
"1243","B302",351958.09,6789617.46,35238
"1244","B302",351986.07,6789436.11,35238
"1245","B302",351998.3,6789435.51,35238
"1246","B302",351933.34,6789584.69,35238
"1247","B302",351923.07,6789611.25,35238
"1248","B302",351634.68,6789031.5,35238
"1249","B302",352134.32,6789356.45,35238
